SMILES;logP
CP(O)=O;-1.2
[H][C@]1(CSCN1)C(O)=O;-2.7
[H][C@](C)(O)[C@@](C)(O)CN;-1.2
CCOC1=C(OCC)C=C2C(NC3=CC=CC(=C3)C3=CSC(CO)=N3)=NC=NC2=C1;3.86
CC1=NC=C(COP(O)(O)=O)C(CNC2(CC2)C(O)=O)=C1O;-4.5
COC1=CC=C(C=C1)C1=C(C)C(=CC=C1S(C)(=O)=O)C(=O)C1=C(O)N(N=C1)C(C)(C)C;4.19
[H][C@@]12CC[C@@](C)(C(=S)C1)C2(C)C;3.44
[H]\C(\C(\[H])=C(\C)[C@@]1([H])CN[C@]([H])(C(O)=O)[C@@]1([H])CC(O)=O)=C(\[H])[C@@]([H])(C)C(O)=O;-1.8
OC(=O)[C@H]1CCCN1;-2.6
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@]([H])(O)CC[C@]12C;3.77
[H][C@](O)(CC(=O)N[C@]([H])(C(=O)N1CCC[C@@]1([H])C(O)=O)[C@@]([H])(C)CC)C(=O)NCCC;-0.29
CCOC(=O)NC;0.17
NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1;-2.7
OB(O)C1=CC(NS(=O)(=O)C2=CC(=CS2)S(=O)(=O)C2=CC=CC=C2)=CC=C1;2.62
[H]\C1=C([H])/[C@@]([H])(OC)[C@]([H])(CCCC[C@]([H])(OC(=O)[C@@]([H])(C)[C@@]2(O)O[C@]([H])([C@@]([H])(C)[C@]([H])(O)[C@@]2([H])OC)[C@@]1([H])C)C1=CC=CC=C1)OC;4.49
[H][C@@]1(O[C@]2(C[C@@H](O)[C@H](C)[C@H](C\C=C\C3=COC(=N3)[C@@H](C)CCNC(=O)[C@@H](O)[C@@H](O)[C@H](COC)N(C)C)O2)C(C)(C)[C@H]1OP(O)(O)=O)[C@H](C[C@H](O)[C@H](C)[C@H](O)[C@H](C)\C=C(/C)\C(\C)=C\C=C\C(\C)=C/C#N)OC;1.77
NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCC1=CC(F)=C(F)C(F)=C1;1.81
[H][C@]1(CO)N2C=C(N=C2[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O)C1=CC=CC=C1;-0.43
[H]\C(=C1\N\C(=C(\[H])C2=NC(=O)C(CCC(O)=O)=C2C)C(C=C)=C1C)C1=C(C=C)C(C)=C(N1)C(\[H])=C1/N=C(O)C(CCC(O)=O)=C1C;2.8
N[C@H]1[C@H](O)O[C@H](CO)[C@@H](OP(O)(O)=O)[C@@H]1O;-4.2
CN(C)C1=C2C=CC=C(C2=CC=C1)S(N)(=O)=O;1.68
OC[C@H]1OC(OP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O;-3.1
[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@@](CC)(C[C@@]22OC(=O)N(CCCl)C2=O)[C@@]13[H])[C@]1(C[C@H]2CN(C[C@](O)(CC)C2)CCC2=C1NC1=CC=CC=C21)C(=O)OC;5.72
[H][C@](N)(CCC1=CC=CC=C1)C=CS(=O)(=O)C1=CC=CC=C1;3.06
C=CCNC1=CC=CC=C1;2.18
[H][C@]1(CCCC)CC[S@](=O)C1;1
[H][C@]1(N=C(N(C(=O)N2CCN(CCO)CC2)[C@]1([H])C1=CC=C(Br)C=C1)C1=C(OCC)C=C(OC)C=C1)C1=CC=C(Br)C=C1;5.52
FC1=CC=C(C(F)=C1)C1=C2CNC(=O)N(C2=CC(=C1)N1CCNCC1)C1=C(Cl)C=CC=C1Cl;5.09
NC(=[NH2+])C1=CC=C2NC(=NC2=C1)C1=CC(F)=CC=C1[O-];1.64
[H]C(=C([H])C(\CS(=O)=O)=C(\NC1=C(C=O)C=C2C=CC=CN12)C(O)=O)C(O)=N;-2.8
C\C(=C/C1=CC=C(C=C1)C(O)=O)C1=CC=C2C(=C1)C(C)(C)CCC2(C)C;6.9
[H][C@](CN)(CCC(O)=O)[C@]([H])(CCN)CC(O)=O;-5.6
[H][C@]1(O)O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(OS(O)(=O)=O)[C@@]1([H])OS(O)(=O)=O;-6.8
[H]N([C@H](C)C1=CC=C(Br)C=C1)C(=O)C1=C(O)C=CC(F)=C1;4.45
CC(C)C1=CC(SC2=CC=C(O)C(=C2)C(C)C)=CC=C1O;6.04
NCC1=C(N=CC=C(C2=CC=CC=C2)C2=CC=CC=C2)C2=CC=CC=C2N=N1;3.96
NC1=NC(=O)N(C=C1)[C@H]1CC[C@@H](COP(O)(O)=O)O1;-1.3
N[C@@H](CC1CCCCC1)C(O)=O;-0.72
FC(F)(F)C1=NC(=N)C(=C)C=N1;0.56
CC1=CN([C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C=C2)C(=O)NC1=O;-1.2
COC1=CC(=CC(OC)=C1OC)C(F)(F)C(=O)N1CCCC[C@H]1C(=O)O[C@@H](CCCC1=CC=CC=C1)CCCC1=CN=CC=C1;6.88
[H][C@]1(C)O[C@]([H])(O[C@]2([H])[C@@]([H])(CO)O[C@]([H])(O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])N[C@@]1([H])C=C(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])O;-5.8
O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1O;-2.4
CC1=C2N3C=NN=C3SC2=CC=C1;1.47
N[C@@H](CCCC(=C)C(O)=O)C(O)=O;-1.9
CSCC[C@@H](N)C(O)=O;-2.2
[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OS(=O)(=O)O2;-0.62
S\C=C\C[S@](=O)CC=C;0.21
CSC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O;-0.63
CC(=O)OP(O)(O)=O;-0.88
NC1=NC2=C(N=CN2)C(OC[C@H]2CCC(=O)N2)=N1;-0.7
[H][C@@](CCSC)(NC(O)=O)C(O)=O;0.36
O[C@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O;-3.1
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C;3.41
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](OP(O)(O)=O)[C@H]1O;-6
NC(CO\C(O)=N\CCNC1=C(NCCCN2CCN(CCC\N=C(/O)C3=CC(=CC(OC4OC(CO)C(O)C(O)C4O)=C3)[N+]([O-])=O)CC2)C(=O)C1=O)CO\C(O)=N\CCNC1=C(NCCCN2CCN(CCC\N=C(/O)C3=CC(=CC(O[C@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)=C3)[N+]([O-])=O)CC2)C(=O)C1=O;-9.3
[H][C@](CN)(CO)C(O)=O;-3.9
O[C@@H]1[C@@H](COP(O)(O)=O)O[C@@H]([C@@H]1O)N1C=NC2=C1C=NC(=O)N2;-2.3
[H][C@@]1(C)C(=O)C[C@@]([H])(CC(O)O)C1(C)C;0.88
N\C=C\OP(O)(O)=O;-1.4
OP(O)(=O)C(C1=CC=CC=C1)P(O)(O)=O;-0.49
OC(=O)C1=CC=C(O1)C1=CC=CC=C1Cl;2.86
CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N;-3.1
[H][C@]1(CNC2=C(N1)C(N)=NC(N)=N2)C1=CC=CC=C1;0.82
CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N;-5.4
C\C(C=C)=C/C=C/C(/C)=C/C=C1/C(C)=CCCC1(C)C;5.67
CC1=NC(C)=C(S1)C1=CC=NC(NC2=CC=C(C=C2)C(F)(F)F)=N1;3.99
[H][C@]1(COS(N)(=O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O;-2.6
CN(C1=CC=C(C=C1)C(=O)NO)S(=O)(=O)C1=CC=C(S1)C1=NC=CC=C1;2.29
COC1=CC(=CC=C1OC(F)F)C1=NNC(=O)C=C1;1.97
COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC;1.51
CC1=C(CCC(O)=O)C2=CC3=C(CCC(O)=O)C(C)=C4N3[Zn]35N2C1=CC1=C(C=C)C(C)=C(C=C2N3C(C(C)=C2C=C)=C4O)N51;7.64
CC1=CN(C(=O)NC1=O)[C@]12C[C@H]1[C@H](CO)[C@@H](O)C2;-1.6
OC(O)(C(F)(F)F)C(F)(F)F;1.26
OC1=C(O)C(=CC=C1)C1=CC=CC=C1;3.01
CC(=C)[C@@H]1CC[C@@]2(C)O[C@H]2C1;2.32
NS(=O)(=O)C1=CC(=CC(N2CCCC2)=C1OC1=CC=CC=C1)C(O)=O;2.25
C[C@H](N)[C@@H](CCCCCC(O)=O)NC(=O)OP(O)(O)=O;-1
N[C@@H](CC1=CC(N)=C(O)C=C1O)C(O)=O;-2.7
COC1=CC=C2SCCN(CC2=C1)C(=O)CCN1CCC(CC2=CC=CC=C2)CC1;4.03
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=S)[C@@H](O)[C@H]1O;-4.6
[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OCC(C)(C)[C@@H](O)C(=O)N([H])CCC(=O)N([H])CCSCC(=O)N([H])CCC4=CN([H])C5=CC=CC=C45)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1;-4.8
C[C@](O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F;2.71
[H][C@]1(CSC)O[C@@]([H])(N2C=CC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O;0.2
[H][C@@](C)(O)[C@@]1([H])O[C@@]([H])(N2C=NC3=C(C)N=CN=C23)[C@]([H])(O)[C@]1([H])O;-1.3
COCCOCCOC;0.031
CC1=C(CC(N)=O)C2=C(C=CC(OCCCC(O)=O)=C2)N1CC1=CC=CC=C1;2.9
[H][C@]1(COP(O)(=O)OP(O)(=O)C[As](O)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O;-5.8
CCCCCCC(O)=O;2.26
[H][C@@]1(CSC(=N1)C(\N)=C\C)C(O)=O;-0.23
[H][C@@](C)(N)[C@@]([H])(CCCCCC(O)=O)CC(O)=O;-1.5
O[C@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@@H](O)[C@@H](OP(O)(O)=O)[C@@H]1O;-4
[H]N([H])CCCC(=O)N([H])[C@@H](CSCC1=CC=C(OC)C=C1)C(=O)N([H])CC(O)=O;-2.6
[H][C@@]1(O)O[C@@]([H])(C(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])O;-2.6
CC[C@]1([C@@H](C)C1(Cl)Cl)C(=O)N[C@H](C)C1=CC=C(Cl)C=C1;5.76
[H][C@]1(O)C[C@@]([H])(O[C@]1([H])CO)N1C=NC2=C(N)N=C(F)N=C12;-0.57
ON(CCCP(O)(O)=O)C=O;-2.2
CC1=C2C=C3[C@@H](C(O)=C)C(C)=C4C=C5N6C(=CC7=C(CCC(O)=O)C(C)=C8C=C([C@@H]1C=C)N2[Fe@@]6(N34)N78)C(CCC(O)=O)=C5C;-2.7
[H][C@@]12C=C(Br)N=C1C(=O)NCC[C@]2([H])C1=NC(N)=NC1=O;0.057
OCC(=O)C(O)=O;-0.75
CC(C)(N)C(O)=O;-2.4
[H][C@](CS)(CC1=CC=CC=C1)C(O)=O;2.57
ON(CC(O)=O)C(O)=O;-0.86
CCCCCC[C@@H](O)C\C=C/CCCCCCCC(O)=O;5.4
[S-]SSS[S-];2.83
O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1C(O)=O;-2.9
[H][C@](N)(CC[Se](C)=O)C(O)=O;-4
N[C@@H](CC1=CNC2=C1C=C(O)C=C2)C(O)=O;-1.4
[NH3+]CC1=CC=C(CNCCC(O)=O)C=C1;-2.3
[H][C@@](C)(O)[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(O)C=O;-2.5
N1C=NC2=CC=CC=C12;1.26
CS(=O)(=O)C1=CC=C(NC2=CC(Cl)=NC3=CC=NN23)C=C1;1.85
OC[C@H]1O[C@@]2(NC(=S)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O;-2.4
[H][C@](N)(CCCN[P@@](N)(=O)NS(O)(=O)=O)C(O)=O;-4.5
N[C@@H](CN1C=C(F)C(=O)NC1=O)C(O)=O;-3.8
CCN1C(=O)C=CC1=O;-0.055
[H][C@](N)(COC(=O)[C@@]([H])(N=C([O-])CC1=CC=CC=C1)[C@]1([H])N[C@@]([H])(C(O)=O)C(C)(C)S1)C([O-])=O;-3.5
CC1=C(CCO)SC=N1;0.42
CCCC1=CC=CC=C1N;2.55
[H][C@](N)(CCOCCN)C(O)=O;-4.4
CC[C@H](N)CC1=CC=CC=C1;2.33
NS(=O)(=O)C1=CC=C(C=C1)\N=N\C1=C2C=C(Br)C=CC2=NC1=O;1.54
ClC1=CC=C(C=C1)C1=CN=CN1;2.03
[H][C@]1(NC(=O)CNC(=O)C2=C(COC)SC(=N2)[C@@H](NC(=O)C2=C(C)SC(=N2)[C@H](CC(=O)NC)NC(=O)C2=CSC(=N2)C2=CC=C(N=C2C2=CSC(=N2)C2=CSC1=N2)C1=NC(=CS1)C1=N[C@@H](CO1)C(=O)N1CCC[C@H]1C(N)=O)C(C)C)[C@@H](O)C1=CC=CC=C1;4.27
[H]N1C(=O)C=CN([C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@@]3([H])F)[C@@H](O)[C@H]2O)C1=O;-4.1
[H][C@@](O)(N[C@@]([H])(CC1=CC=CC=C1)[C@]([H])(O)N[C@@]([H])(CC1=CC(C(O)=O)=C(OCC(O)=O)C=C1)[C@@]([H])(O)NCCCCC)OC(C)(C)C;0.8
CC(C)[C@H](O)[C@H](N)C(O)=O;-2.6
CS\C(N)=N\CCCCCCCCCCCCCC\N=C(/N)SC;6.13
[H]N1C(=O)N(C=C(C)C1=O)[C@H]1C[C@H](O)[C@@H](COP(O)(S)=S)O1;0.39
[H][C@@](CCCC)(NCC1=C(COP(O)(O)=O)C=NC(C)=C1O)C(O)=O;-2.7
[H]\C(CCC)=C(/[H])\C(\[H])=C(/[H])CCCCCCCCCO;5.42
OS(=O)(=O)C1=CC=C([Hg])C=C1;-0.3
COC1=CC2=NC=NC(NC3=CC(SC)=CC=C3)=C2C=C1OC;3.77
NC1=NC(=O)C2=C(N1)N=C(I)N2;0.46
NS(=O)(=O)C1=CC=C(S1)S(=O)(=O)NCC1=CC=CS1;1.16
N[C@@H](CSCC(N)=O)C(O)=O;-4
[H]N=C(CC1=CNC2=CC=CC=C12)C(O)=O;1.54
CC(C)COC1=CC=CC(C2=NC3=C(N2)C=C(Cl)C(=C3)C(N)=N)=C1O;3.08
CCCCCCCCCCCCCCCC(=O)SCCNC(C)=O;5.92
CCS\C(N)=N\C1=CC=C(C=C1)C(F)(F)F;3.59
[H][C@@](O)(CNCP(O)(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)COP(O)(O)=O;-6.1
CC1=NC2=C(O1)N=C(N)NC2=O;-0.96
C[As](C)(O)=O;-0.33
[NH3+]C1CCCCC1;1.17
[H][C@](CS)(CC(C)C)C(O)=O;2.17
[H][C@@]12CC[C@](C)(O)[C@@]1(C)C=CC1=C3CCC(=O)C=C3CC[C@@]21[H];2.53
N[C@@H](CN1OC(=O)NC1=O)C(O)=O;-3.7
[H][C@@](C)(O)CN1C=NC2=C(N)N=CN=C12;-0.58
CC(=O)O[C@H]1CC(C)(C)C(=C=C\C(C)=C\C=C\C=C\C=C(/C)\C=C2/OC(=O)C(\C=C\[C@@]34O[C@]3(C)C[C@@H](O)CC4(C)C)=C2)[C@](C)(O)C1;5.25
OC1=CC=C(I)C=C1;2.6
[H]N([H])[C@@H](CCC(=O)N([H])[C@@H](CS(O)(=O)=O)C(=O)N([H])CC(O)=O)C(O)=O;-5
[H]N([H])[C@@H](CCCC(=O)N([H])[C@@H]1C(=O)N([C@H](C[S@](C)=O)C(O)=O)[C@]1([H])S)C(O)=O;-5.5
NC1=CC2=C(C=C1)C1=CC=C(N)C=C1C(C1=CC=CC=C1)=[N+]2CCCCCCC1=CN=NN1CCNC1=C2CCCCC2=NC2=C1C=CC=C2;3.09
NC1=CC=C(C=C1)[As](O)(O)=O;-0.17
[H][C@@]1(CCCCCCCC(O)=O)C=CC(=O)[C@]1([H])CC=CCC;5.08
[H][C@]1(O)[C@@]([H])(O)[C@]([H])(O)[C@](F)(CO)OC1([H])F;-1.6
[H]N1C(SCC(=O)N2CCCCC2)=NC(=O)C=C1C(F)(F)F;0.98
[H]\C(=C(\C)[C@]1([H])C[C@]2([H])O[C@]2(C)CCC[C@]([H])(C)[C@]([H])(O)[C@@]([H])(C)C(=O)C(C)(C)[C@@]([H])(O)CC(=O)O1)C1=CSC(C)=N1;4.12
[H][C@]1(COP(O)(S)=S)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)C([H])(O)[C@]1([H])O;-2.9
[H][C@@](CC1=CC=CC=C1)(NS(N)(=O)=O)C(O)=O;-0.065
CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H]1O;-5.3
[H]N1C=[N+]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C2=C1[C@H](O)N=CN2[H];-6.7
NC(=N)C1=CC2=C(C=C1)N=C(N2)C1=C(O)C=CC=N1;1.02
CCCCCCCCCCCC(O)=O;4.48
CC1=CC=C(N)C=C1C;2.17
NC1=NC=CC(=N1)C1=C(Cl)SC(Cl)=C1;3.25
NC(=O)C1=C[NH+]=CC(=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O;-7.6
[H]C(=C([H])C([H])(C)C([H])(OC(C)=O)[C@]([H])(C)C(=O)CC[C@]([H])(C)[C@]([H])(C[C@]1([H])OC(=O)C[C@@]([H])(O)CCCC(=O)C[C@]([H])(C)C2=COC(=N2)C2=COC(=N2)C2=COC(=N2)\C([H])=C([H])\C[C@]([H])(OC)[C@@]1([H])C)OC)N(C)CO;5.08
[H]N1C2=C(N(CCCOP(O)(O)=O)C(=O)N2C[C@@H](O)[C@H](O)[C@H](O)CO)C(=O)N([H])C1=O;-4.4
CC(C)(C)N1[NH+]=C(C2=C1N=CN=C2N)C1=CC=C(Cl)C=C1;3.32
[H][C@](C)(CC1=CSC(N)=N1)C=O;0.83
CCCCC[C@H](O)C=C;2.49
ONC(=O)COP(O)(O)=O;-2
OC(=O)C1=NC2=CC=CC=C2N1;0.77
CC1=CC=C(CN2C=NC(=C2)C2=CC=CS2)C=C1;4.13
CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)NCCCCCCCCNC(=O)C12CC3CC(CC(C3)C1)C2;5.88
CCCCCCCCSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O;-1.5
COC1=CC=C(C=C1)S([O-])=O;0.78
C[C@@H]1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O;0.09
OC1=CC=CC2=C1C(=O)C1=C(O)C=CC(=C1C2=O)[N+]([O-])=O;3.55
OC(=O)CC1=C(O)C2=C(C=C1)C(=O)C1=C(C(O)=CC=C1)C2=O;3.25
[H]N([H])C1=NC(=O)C2=C(N([H])C=C2CCC2=CC=C(C=C2)C(=O)N([H])[C@@H](CCC2=NN([H])N=N2)C(O)=O)N1[H];1.54
NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCC1=CC(F)=CC=C1F;1.66
OC(=O)CN(CC(O)=O)CC(O)=O;-4.3
O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O;-4.7
[H][C@@](O)(COP(O)(O)=O)[C@@]([H])(O)[C@]([H])(O)C(O)=O;-2.9
[H][C@](N)(CC1=CNC2=C1C=C[Se]2)C(O)=O;-2
CC1=CC=C(C=C1)N1N=C(C=C1NC(=O)NC1=CC=C(OCCN2CCOCC2)C2=C1C=CC=C2)C(C)(C)C;6.37
CC(=O)OCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COC(=O)C(C)(C)C;0.053
COC1=CC=C2C=CC(=CC2=C1C1=CN(N=C1)S(C)(=O)=O)C(N)=N;0.49
[H]\C(C)=C(\[H])CCC([H])=C([H])CC\C([H])=C(/[H])CCCCCCC(=O)OC[C@]([H])(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C([H])=C(/[H])C\C([H])=C(/[H])CCC;9.53
OC(=O)CC1=CC(=O)NC(=O)N1;-1.3
N[C@@H](CS[SeH])C(O)=O;-3.7
OC(=O)[C@H]1CCCO1;0.22
OC(=O)C1=CC=C(OCCN2C=CN=C2)C=C1;0.61
NC1(CC1)[P@](O)([O-])=O;-2.3
BrC(Br)Br;2.28
C1CCN(CC1)C1CCNCC1;0.68
[H]C(=O)CC([H])=O;-0.65
NC1=CC=CC=C1CO;0.38
CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N;-5.8
COC1=CC(\C=C/C2=C(C)C3=C(N)N=C(N)N=C3N=C2)=C(OC)C=C1;2.69
CCCCC[C@H](C)NC=O;1.77
CN1C=CN=C1C(=O)C1=C(C)C2=C(O1)C=CC=C2OCCCNCC1=CN=CC=C1;2.55
COC1=CC(=CC(OC)=C1OCC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC[C@@H]1CCC2OCOC2C1)C(=O)CCN1C(=O)C2=CC=CC=C2C1=O;5.09
CCCCCCCCCCC1=C(O)C(=O)NC1=O;3.24
NC(=N)N1C=C2C=CC=C(C2=N1)[N+]([O-])=O;0.71
C[C@@H](O)C(O)=O;-0.47
OC(=O)C1=C(C=C(OC2=C(NC(=O)C3=CC(=CC=C3)[N+]([O-])=O)C=C(NC(=O)C3=CC(=CC=C3)[N+]([O-])=O)C=C2)C=C1)C(O)=O;4.85
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC=NC1=O;-2.2
NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O;-4.9
[H]N([H])C(=O)C1=C[Se]C(=N1)[C@]1([H])O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N=CN=C23)N([H])[H])[C@@H](O)[C@H]1O;-6.7
C[C@H](N)C1=NC(C)=C(O)N1CC(O)=O;-3
CC1=CC=CC2=C1N=C(CCCN1CCC(=CC1)C1=CC=C(F)C=C1)NC2=O;3.81
COC1=CC(=CC=C1)C(N)=O;0.67
NC1=NC2=C(C(=CN2)C#N)C(=O)N1;-1.4
OP(O)(=O)N[P@](O)(=O)OP(O)(O)=O;-2.6
CNC(=O)C1=CC=CC(CN2[C@H](COC3=CC=CC=C3)[C@H](O)[C@@H](O)[C@@H](COC3=CC=CC=C3)N(CC3=CC=CC=C3)S2(=O)=O)=C1;3.4
CCCOCCOCCOCCCNC1=C(N)C(=O)C1=O;-0.28
O[P@@](=O)(OCC1=CC=CC=C1)OC1=C(C=O)C=CC=C1;2.83
[H][C@]1(COP(O)(O)=O)O[C@]([H])(N2C=NC3=CC=CC=C23)[C@]([H])(O)[C@]1([H])O;-2.5
COC1=C(C)C(C)=C(C(C)=C1)S(=O)(=O)N[C@@H](CC(O)=O)C(=O)N[C@H](CC1=CC=C(C=C1)C(N)=N)C(=O)N1CCCCC1;0.48
NCC1=CC=C(NC(=O)C2=CC(NC3=NC=CC=N3)=C3C=C(C=CC3=C2)C(N)=N)C=C1;1.95
COC1=CC(OC)=C(\C=C2\C(=O)NC3=CC=CC=C23)C(OC)=C1;2.79
CCCN1C(=NC(=C1C1=CC=NC(NC2CC2)=N1)C1=CC=C(Cl)C(Cl)=C1)C1CCN(C)CC1;5.46
OCC(O)=O;-1
[H][C@@](N)(CC1CCCCC1)[C@]([H])(O)C(=O)NNC1=CC=C(C)C=C1;2.72
CC[C@@H](C)C1=NC=CS1;2.44
OC(=O)[C@@H]1CCC(=O)N1;-0.89
[H][C@@](CCCC)(N1CCN[C@]([H])(CC2=CC=CC=C2)C1=O)C(O)=O;0.042
N[C@@H](CCC(O)=O)C(N)=O;-4
[H][C@]1(O)C=C(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])O;-3
COC1=CC(CC2=NC3=NC(F)=NC(N)=C3N2)=C(OC)C=C1;1.69
[H][C@@](C)(N)[C@@]1([H])N[C@@]([H])(CN)C(=O)N1CC(O)=O;-5.1
C[N+](C)(C)C;-4
NCCN1CCOCC1;-0.83
[H]N(CC1=C(O)C(C)=NC=C1COP(O)(O)=O)C1=CON([H])C1=O;-3.4
C[Se]CC([O-])=O;-0.15
NC1=C(NC(=O)NC1=O)[N+]([O-])=O;-1.6
O=N(=O)C1=CC2=NNC=C2C=C1;1.59
OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H]1O;-2.4
OC(=O)C(=O)NC1=C(C(O)=O)C2=C(COCC2)S1;1.47
CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O;-1.7
CC(=O)N\C(=C/C1=CC=C(CC(O)=O)C(C=O)=C1)C(=O)N[C@H]1CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O;3.12
N[C@@H](CCCO)C(O)=O;-3.3
O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O;-3.8
NCCC(O)=O;-3.2
[H][C@@](O)(COP(O)(O)=O)[C@@]([H])(O)C(O)=O;-2.3
[H]N([C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@H]1O)C(C)=O;-3.2
OC1=CC=CC=C1Cl;2.27
N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(O)=O;-4.2
[H][C@]12CS[C@@]([H])(CCCCCC(O)=O)[C@@]1([H])NC(=O)N2;0.76
[H][C@@](CF)(OP(O)(O)=O)C(O)=O;-0.75
O[P@@](=O)(OCC1CCCCC1)OC1=C(C=O)C=CC=C1;3.22
